model,redshift,sub_id,logMstar,resid,bbarolo_rc
CDM,1.0,59214,10.398,6.1961,0
SIDM1,3.0,18547,9.792,6.1823,0
SIDM1,3.0,11240,10.146,6.1805,0
CDM,3.0,6223,10.480,6.1755,0
SIDM1,1.0,56719,10.330,6.1672,0
vSIDM,2.0,28089,10.053,6.1651,0
CDM,3.0,18183,9.938,6.1594,0
CDM,3.0,18490,9.830,6.1540,0
vSIDM,2.0,19993,10.696,6.1538,0
CDM,2.0,17113,10.419,6.1535,0
vSIDM,4.0,4688,10.091,6.1494,0
SIDM1,2.0,35200,9.993,6.1493,0
vSIDM,1.0,44542,10.380,6.1403,0
vSIDM,2.0,34764,9.905,6.1363,0
SIDM1,4.0,2008,10.596,6.1240,0
SIDM1,2.0,39096,9.936,6.1214,0
CDM,3.0,11195,9.999,6.1151,0
SIDM1,1.0,52580,10.590,6.1133,0
CDM,2.0,27070,10.327,6.1119,0
SIDM1,2.0,25731,10.368,6.1077,0
CDM,2.0,9370,11.069,6.1043,0
vSIDM,2.0,26347,10.292,6.0993,0
SIDM1,3.0,11166,10.136,6.0985,0
SIDM1,1.0,50808,10.181,6.0976,0
SIDM1,3.0,18381,9.897,6.0947,0
SIDM1,3.0,5015,10.264,6.0867,0
SIDM1,3.0,9914,10.010,6.0805,0
SIDM1,3.0,13360,10.087,6.0801,0
CDM,2.0,15697,10.921,6.0764,0
CDM,1.0,56408,10.317,6.0735,0
SIDM1,3.0,12520,9.995,6.0714,0
SIDM1,2.0,18267,10.739,6.0683,0
SIDM1,3.0,19958,9.761,6.0559,0
vSIDM,2.0,21129,10.412,6.0533,0
SIDM1,3.0,2682,10.642,6.0480,0
vSIDM,1.0,38129,10.903,6.0480,0
vSIDM,0.5,71303,10.027,6.0465,0
CDM,3.0,13943,9.896,6.0441,0
vSIDM,2.0,25888,10.061,6.0396,0
CDM,2.0,28827,10.230,6.0356,0
SIDM1,4.0,5617,10.002,6.0302,0
CDM,1.0,43943,10.844,6.0280,0
CDM,1.0,57218,10.212,6.0262,0
vSIDM,4.0,4744,10.126,6.0250,0
SIDM1,0.5,42099,11.109,6.0198,0
vSIDM,2.0,15579,10.411,6.0184,0
vSIDM,3.0,4702,10.219,6.0180,0
CDM,1.0,42637,10.906,6.0160,0
CDM,3.0,21352,9.856,6.0156,0
CDM,2.0,21914,10.129,6.0113,0
SIDM1,2.0,37908,9.936,6.0102,0
vSIDM,2.0,18695,10.487,5.9911,0
vSIDM,2.0,40818,9.918,5.9842,0
CDM,3.0,12783,9.923,5.9824,0
CDM,3.0,21368,9.931,5.9792,0
SIDM1,1.0,56275,10.259,5.9774,0
SIDM1,3.0,15960,10.027,5.9758,0
SIDM1,3.0,12154,10.342,5.9737,0
SIDM1,3.0,9022,9.793,5.9673,0
CDM,2.0,30457,9.921,5.9640,0
CDM,2.0,19743,10.781,5.9622,0
vSIDM,2.0,17242,10.274,5.9613,0
CDM,1.0,42885,10.087,5.9608,0
SIDM1,3.0,16967,9.993,5.9580,0
SIDM1,3.0,11450,9.996,5.9492,0
SIDM1,3.0,17421,9.851,5.9374,0
SIDM1,2.0,20732,10.201,5.9284,0
SIDM1,2.0,32357,10.032,5.9109,0
SIDM1,2.0,24565,10.393,5.9057,0
vSIDM,2.0,21880,10.455,5.9026,0
SIDM1,3.0,9693,10.460,5.9022,0
SIDM1,3.0,7404,10.446,5.8983,0
vSIDM,2.0,12841,10.675,5.8971,0
CDM,2.0,28188,10.008,5.8952,0
SIDM1,3.0,18586,9.987,5.8886,0
CDM,2.0,32602,10.057,5.8851,0
vSIDM,1.0,46169,10.809,5.8829,0
vSIDM,2.0,25156,10.189,5.8762,0
SIDM1,1.0,60966,9.731,5.8762,0
SIDM1,3.0,12448,10.236,5.8726,0
vSIDM,1.0,40979,10.693,5.8672,0
CDM,3.0,18979,9.790,5.8645,0
SIDM1,1.0,27888,11.303,5.8618,0
vSIDM,3.0,6060,10.402,5.8604,0
SIDM1,4.0,1913,10.633,5.8593,0
SIDM1,3.0,18699,9.830,5.8539,0
vSIDM,2.0,17058,10.695,5.8484,0
CDM,2.0,25961,10.012,5.8421,0
vSIDM,3.0,19012,9.920,5.8381,0
CDM,3.0,7130,10.237,5.8378,0
SIDM1,3.0,15612,9.872,5.8331,0
